iter	RMSE
0	1.249128052
1	1.206986826
2	1.168195985
3	1.135780575
4	1.10872249
5	1.080734148
6	1.055720499
7	1.032561715
8	1.014983148
9	0.9946457585
10	0.9785898091
11	0.964221505
12	0.9518121222
13	0.941199117
14	0.929282685
15	0.913425665
16	0.9021465688
17	0.8949067528
18	0.8862453445
19	0.8754119577
20	0.8626116547
21	0.8553648841
22	0.8485251062
23	0.8430139387
24	0.8373992476
25	0.8311937645
26	0.8243362282
27	0.8152655406
28	0.8116664203
29	0.8061458761
30	0.8007432901
31	0.7951016393
32	0.7905897336
33	0.7832110267
34	0.7790002694
35	0.7728019638
36	0.7685895034
37	0.762827452
38	0.7553283532
39	0.7458696717
40	0.7428839526
41	0.740327641
42	0.7355499109
43	0.7316569805
44	0.727990938
45	0.7236312096
46	0.7207147599
47	0.7146195076
48	0.7089438085
49	0.7055487313
50	0.7033326674
51	0.699976551
52	0.6967730625
53	0.6927330658
54	0.6909910546
55	0.6882833211
56	0.685056993
57	0.6784403175
58	0.6762780895
59	0.6736400887
60	0.671911354
61	0.664841915
62	0.6629692469
63	0.6596188879
64	0.6565493827
65	0.6525324732
66	0.6490244887
67	0.6463856188
68	0.6432004978
69	0.6379907961
70	0.632679954
71	0.6295346602
72	0.6278607734
73	0.6265873073
74	0.6223425354
75	0.6188120993
76	0.6153651576
77	0.6142310128
78	0.6118847623
79	0.6071068215
80	0.6034283788
81	0.601368624
82	0.5984992099
83	0.5963305903
84	0.5939858853
85	0.5903272428
86	0.5862668019
87	0.5821397289
88	0.5798565979
89	0.5782109966
90	0.5755004539
91	0.5705249574
92	0.5689595712
93	0.5649931716
94	0.5628947462
95	0.5595383613
96	0.5547082412
97	0.5529556045
98	0.5490687637
99	0.5459467217
100	0.5443751439
101	0.5422364099
102	0.540102667
103	0.5377455089
104	0.5346510793
105	0.5321211702
106	0.5278193602
107	0.5221554315
108	0.520431534
109	0.5156843176
110	0.5118526046
111	0.5083198354
112	0.5056935297
113	0.5027535594
114	0.4994425621
115	0.4980234158
116	0.4956270758
117	0.4931928152
118	0.4907122257
119	0.4883513461
120	0.4869578227
121	0.484938847
122	0.4812172229
123	0.4780368753
124	0.4760277094
125	0.4736221323
126	0.4715885503
127	0.469433965
128	0.4685331244
129	0.4637362676
130	0.4610467972
131	0.4590860064
132	0.4564696893
133	0.4529999192
134	0.4508552558
135	0.4486438876
136	0.4483931044
137	0.4455066647
138	0.4431587996
139	0.4407904282
140	0.4383560686
141	0.436050198
142	0.4340877096
143	0.4312612387
144	0.4304973883
145	0.4286185091
146	0.4269594129
147	0.4243718891
148	0.421957146
149	0.4202705947
150	0.4157776486
151	0.4143774833
152	0.4119737426
153	0.4108917164
154	0.4078071128
155	0.4057599503
156	0.404667122
157	0.4027978888
158	0.4000070401
159	0.3985495833
160	0.3976366382
161	0.3957546835
162	0.3945636912
163	0.3917210653
164	0.3898075455
165	0.3878574075
166	0.3853536762
167	0.3827799602
168	0.3811028596
169	0.3790451285
170	0.3774208682
171	0.3760743335
172	0.3732692472
173	0.371782067
174	0.3708329784
175	0.3698565394
176	0.3688349606
177	0.367111648
178	0.3653406637
179	0.3644326198
180	0.3626420702
181	0.3604798728
182	0.3590665938
183	0.3577923493
184	0.3559065484
185	0.3512845979
186	0.3499969598
187	0.3468612207
188	0.3447427941
189	0.342840855
190	0.3412658909
191	0.3396031667
192	0.3374668775
193	0.3362955126
194	0.3340560238
195	0.3319751146
196	0.3303274587
197	0.3290390684
198	0.3281522158
199	0.3258547098
200	0.3231526544
201	0.3217336943
202	0.3202749457
203	0.3190083126
204	0.3186499052
205	0.3174483956
206	0.3161822366
207	0.3148044005
208	0.3141384417
209	0.3130521292
210	0.3116651917
211	0.3102880927
212	0.3088809866
213	0.3072996441
214	0.3058792578
215	0.3043354579
216	0.3030510364
217	0.3017140628
218	0.3003159393
219	0.2986456866
220	0.2973834365
221	0.295046286
222	0.2933216605
223	0.2920759107
224	0.290529554
225	0.2893863908
226	0.2879511051
227	0.2866039672
228	0.2854507669
229	0.2842296907
230	0.2825895133
231	0.2815703325
232	0.2801123802
233	0.2787509721
234	0.2772808699
235	0.2756933503
236	0.2747190975
237	0.2736333932
238	0.2718405113
239	0.2703850469
240	0.2690638726
241	0.2674213426
242	0.266557581
243	0.2648602988
244	0.2633974742
