iter	Passed	Remaining
0	83	41469
1	159	39616
2	233	38660
3	303	37673
4	366	36319
5	463	38178
6	529	37327
7	594	36562
8	661	36064
9	718	35211
10	802	35656
11	873	35538
12	939	35190
13	1010	35091
14	1064	34424
15	1131	34242
16	1181	33573
17	1244	33333
18	1317	33356
19	1385	33243
20	1451	33099
21	1509	32796
22	1563	32419
23	1634	32408
24	1689	32098
25	1747	31860
26	1807	31672
27	1874	31593
28	1933	31396
29	1994	31249
30	2049	31002
31	2099	30710
32	2152	30459
33	2215	30366
34	2273	30200
35	2342	30188
36	2401	30046
37	2479	30147
38	2540	30032
39	2577	29643
40	2653	29709
41	2705	29502
42	2757	29304
43	2815	29183
44	2866	28980
45	2916	28786
46	2973	28661
47	3015	28395
48	3062	28191
49	3101	27915
50	3148	27722
51	3197	27545
52	3239	27317
53	3295	27221
54	3348	27095
55	3397	26941
56	3451	26828
57	3498	26664
58	3561	26619
59	3597	26384
60	3639	26193
61	3687	26050
62	3733	25895
63	3781	25762
64	3823	25589
65	3867	25434
66	3917	25316
67	3959	25154
68	4000	24987
69	4036	24798
70	4085	24686
71	4123	24510
72	4169	24390
73	4212	24248
74	4267	24180
75	4309	24041
76	4361	23958
77	4403	23821
78	4451	23723
79	4485	23548
80	4512	23342
81	4563	23263
82	4616	23193
83	4670	23129
84	4707	22985
85	4747	22851
86	4782	22704
87	4820	22569
88	4866	22471
89	4904	22342
90	4947	22235
91	4987	22118
92	5032	22024
93	5075	21922
94	5124	21845
95	5180	21800
96	5224	21706
97	5267	21608
98	5302	21476
99	5342	21371
100	5378	21247
101	5418	21142
102	5455	21026
103	5486	20891
104	5517	20754
105	5551	20635
106	5585	20513
107	5617	20388
108	5657	20293
109	5696	20195
110	5732	20088
111	5770	19989
112	5801	19867
113	5839	19771
114	5881	19691
115	5920	19598
116	5962	19517
117	5993	19403
118	6033	19316
119	6073	19232
120	6104	19122
121	6138	19020
122	6172	18919
123	6207	18822
124	6239	18718
125	6276	18629
126	6316	18550
127	6348	18450
128	6362	18297
129	6397	18209
130	6444	18153
131	6480	18067
132	6512	17971
133	6547	17884
134	6580	17792
135	6614	17702
136	6618	17537
137	6651	17447
138	6683	17357
139	6716	17271
140	6751	17190
141	6785	17106
142	6822	17032
143	6868	16980
144	6908	16912
145	6948	16848
146	6990	16787
147	7024	16706
148	7054	16617
149	7092	16550
150	7129	16479
151	7163	16400
152	7194	16317
153	7230	16244
154	7260	16161
155	7295	16087
156	7333	16022
157	7370	15954
158	7415	15903
159	7447	15825
160	7481	15752
161	7501	15650
162	7537	15583
163	7559	15487
164	7577	15385
165	7598	15289
166	7617	15188
167	7639	15096
168	7660	15004
169	7687	14922
170	7705	14825
171	7724	14729
172	7739	14628
173	7756	14531
174	7781	14451
175	7825	14405
